Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~12_fit_switch.PrjPCB|ReportField=ProjectFullPath~F:\xr_company\PCB工程\一二次配合PCB\一二次配合底板\12_fit_switch.PrjPCB|ReportField=Title~Bill of Materials For PCB Document [12_fit_switch.PcbDoc]|ReportField=TotalQuantity~458|ReportField=ReportTime~上午 10:58:24|ReportField=ReportDate~2018/12/8 星期六|ReportField=ReportDateTime~2018/12/8 星期六 上午 10:58:24|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~12_fit_switch.PcbDoc|ReportField=DataSourceFullPath~F:\xr_company\PCB工程\一二次配合PCB\一二次配合底板\12_fit_switch.PcbDoc
IRF640||Q1, Q3|TO220-IRF540|MOSFET-P1|2
BC817-25|NPN|Q2, Q5, Q7, Q8|SOT-23|SOT-23 2SC3356-T1B-A    S/YS档|4
LMUN2232LT1G|Vceo=50V,Vcbo=50V,Ic=100mA,Hfe=15@Ic=5mA,R1=R2=4.7k|Q4|SOT-23|T-NPN-LMUN2232LT1G-SOT23|1
NMOS-2|N-Channel Power MOSFET|Q6|TO220-IRF540|NMOS-2|1
T-NPN-LMUN2232LT1G-SOT2|三?|Q9|SOT-23|SOT-23 2SC3356-T1B-A    S/YS档|1
2N5551|三?|Q11, Q12, Q13|SOT-23|SOT-23 2SC3356-T1B-A    S/YS档|3
BC817-25(6CW)|NPN|Q14, Q15|SOT-23|SOT-23 2SC3356-T1B-A    S/YS档|2
2K||R1, R3, R5, R23, R85, R93, R95, R116, R137|R1206|RES2|9
100R||R2, R4, R20|R1206|RES2|3
3K3||R6, R8, R14, R16|R1206|RES2|4
10K|Resistor|R7, R10, R22, R28, R31, R35, R36, R37, R38, R39, R40, R45, R48, R53, R60, R61, R63, R65, R72, R74, R75, R83, R136, R163, R166, R172, R174, R175, R176|R1206|Res1, RES2|29
4K7||R9, R21, R86, R87, R89, R138, R164, R173|R1206|RES2|8
510||R11|R1206|RES2|1
0|Resistor|R12, R19|R1206|Res1|2
100K|Resistor|R13, R26, R27, R54, R58, R161, R162, R165, R168, R170, R171|R1206|RES, Res1, RES2|11
1K||R15, R24, R41, R42, R77, R82, R88, R131, R134, R143, R146, R149, R152, R155, R158, R159, R169|R1206|RES, RES2|17
15K||R17|R1206|RES2|1
20K||R18, R25, R66, R67, R68, R69, R126, R127, R128, R129|R1206|RES2|10
300||R29|R2512|RES2|1
1M|Resistor|R30, R84|R1206|Res1|2
499R|Resistor|R32, R59|R1206|Res1|2
24K/3W||R33, R34, R76|RES-L5|RES2|3
200R||R43, R110, R113, R114, R115, R177, R178, R179, R180, R181, R182, R183|R1206|RES2|12
200||R44|R1206|RES2|1
680||R46|R1206|RES2|1
4.7K||R47|R1206|RES2|1
51K||R49|R1206|RES2|1
36k||R50|R1206|RES|1
12k||R51|R1206|RES|1
5K1|Resistor|R52, R57|R1206|Res1|2
49R9|Resistor|R55, R56, R64, R73, R78|R1206|Res1|5
3K||R62|R1206|RES2|1
6R8||R70, R71, R79, R124, R133|R1206|RES2|5
1.0||R80, R81, R139, R139'|R2512|RES2|4
2.2K||R90, R140|R1206|RES2|2
68R||R94, R96, R103, R107|R1206|RES2|4
5.1K|Resistor|R97, R98, R105, R106|R1206|Res1|4
10R|Resistor|R99, R104|R1206|Res1|2
120|Resistor|R100|R1206|Res1|1
100||R101, R102|res-l5|RES2|2
20||R108, R109, R111, R112|R1206|RES|4
220K/3W||R117, R118, R119, R120|RES-L5|RES2|4
22K||R130|R1206|RES2|1
3.9K||R141, R144, R147, R150, R153, R156|R1206|RES|6
2K2||R142, R145, R148, R151, R154, R157, R160, R167|res_0.5W-L-5.08|RES2|8
10D681||RV1, RV3|NTC|VARISTOR|2
20D821||RV2|20D301|VARISTOR|1
BK-28-901-CPU||T1|DC24S15|DC24S15|1
EE19/8/5|Three-winding Transformer (Idea|T2|EE19/8/5|Trans3 Ideal|1
TL431||TL1, TL2|SOT-23|TL431|2
|Header, 2-Pin|TX|XH_2.54*2|Header 2|1
SPX29302||U1|TO-263-5|SPX29302|1
LM1117IMPX-3.3V|800mA Low-Dropout Linear Regulator, 4-pin SOT-223|U2|SOT223|LM1117IMPX-3.3|1
LM2596-5.0||U3|TO-263-5|LM2596|1
SN75176AD|Differential Bus Transceiver|U4|SO8|SN75176AD|1
AMC1200SDUBR|single power isolator amp fixed gain is|U5|SOP8(贴片DIP8)|AMC1200SDUBR|1
ICE3AS03LJG||U6, U10|SO8|ICE3AS03LJG|2
